Instrument_Category,Instrument,Dataset_ID,Acq_Time_Start,Acq_Length,Dataset_Type,Curated_Quality,XIC_WideFrac,XIC_FWHM_Q1,XIC_FWHM_Q2,XIC_FWHM_Q3,XIC_Height_Q2,XIC_Height_Q3,XIC_Height_Q4,RT_Duration,RT_TIC_Q1,RT_TIC_Q2,RT_TIC_Q3,RT_TIC_Q4,RT_MS_Q1,RT_MS_Q2,RT_MS_Q3,RT_MS_Q4,RT_MSMS_Q1,RT_MSMS_Q2,RT_MSMS_Q3,RT_MSMS_Q4,MS1_TIC_Change_Q2,MS1_TIC_Change_Q3,MS1_TIC_Change_Q4,MS1_TIC_Q2,MS1_TIC_Q3,MS1_TIC_Q4,MS1_Count,MS1_Freq_Max,MS1_Density_Q1,MS1_Density_Q2,MS1_Density_Q3,MS2_Count,MS2_Freq_Max,MS2_Density_Q1,MS2_Density_Q2,MS2_Density_Q3,MS2_PrecZ_1,MS2_PrecZ_2,MS2_PrecZ_3,MS2_PrecZ_4,MS2_PrecZ_5,MS2_PrecZ_more,MS2_PrecZ_likely_1,MS2_PrecZ_likely_multi,SMAQC_Job,C_1A,C_1B,C_2A,C_2B,C_3A,C_3B,C_4A,C_4B,C_4C,DS_1A,DS_1B,DS_2A,DS_2B,DS_3A,DS_3B,IS_1A,IS_1B,IS_2,IS_3A,IS_3B,IS_3C,MS1_1,MS1_2A,MS1_2B,MS1_3A,MS1_3B,MS1_5A,MS1_5B,MS1_5C,MS1_5D,MS2_1,MS2_2,MS2_3,MS2_4A,MS2_4B,MS2_4C,MS2_4D,P_1A,P_1B,P_2A,P_2B,P_2C,P_3,P_2Anorm,BinomResp,LLRC.Prediction
LTQ_IonTrap,LTQ_2,283121,8/19/12,60,MS-MSn,poor,0.253177,34.1084,39.5508,48.9034,0.429802,0.768852,2.69962,3542.21,0.286514,0.350303,0.200724,0.16246,0.244969,0.250464,0.254268,0.250299,0.244974,0.250343,0.254263,0.250419,0.727587,0.712017,3.06706,0.0979693,0.1506,1.70469,882,0.259478,1403.25,1538.5,1582,8812,2.60459,71,156,192,0,0,0,0,0,0,0.526214,0.473786,869501,0,0,5.932,2.1915,24.26,23.46,21.77,42.32,23.47,6,0,88,880,1.185,1,0,0,936.9679,0,1.4,0,10,13.73,1332,6.651,4418,-0.024935,0.268484,-7.546,-6.183,100,17.135,205,0.0048,0.0029,0.0087,0.0067,6.6,-6.597,23,21,20,0.05,0.026136364,1,1
LTQ_IonTrap,LTQ_2,283161,8/20/12,59,MS-MSn,good,0.284229,25.3494,30.0646,38.2206,1.58857,0.870319,3.01205,3541.33,0.270995,0.126597,0.126953,0.475454,0.246481,0.23274,0.252525,0.268254,0.246646,0.232527,0.252427,0.268399,1.13548,0.983802,2.19594,1.37697,0.536979,0.221047,953,0.297701,1446,1497,1536,9524,2.98004,340.75,641,828,0,0,0,0,0,0,0.104473,0.895527,869692,0,0.003922,13.9678,54.6256,32.02,42.76,24.15,26.63,48.65,5.553,6.63,242,2419,1.462,1.099,1,0,860.703,0.032638,0.354488,0,0.509,45.805,75940,17.238,283677,-0.037846,0.227953,-19.377,-19.253,45.562,128.5,828,0.0074,0.1382,0.2221,0.2945,7.25,-7.252,1492,1291,1187,0.023589,0.616783795,0,0
LTQ_IonTrap,LTQ_2,283166,8/20/12,59,MS-MSn,poor,0.22172,32.433,38.677,47.6842,1.18689,1.30586,3.54595,3539.21,0.444294,0.0511491,0.237568,0.266989,0.256755,0.259688,0.270475,0.213082,0.248744,0.244224,0.251483,0.255549,1.28179,1.30379,3.29033,2.14629,0.361146,2.47577,952,0.532784,1304,1413,1511.5,8858,3.1057,11.25,281,543,0,0,0,0,0,0,0.518966,0.481034,869700,0,0,1.1408,16.655,56.09,69.37,27.38,33.32,72.34,34,0,20,203,1.572,1.09,15,15,663.393,0.035714,0.25,0,2.0075,37.95,60409,2.79,453889,-0.102801,0.281328,-81.117,-79.745,21.649,108.8,838,0,0,0,0.0272,6.62,-6.624,36,35,35,0,0.177339901,1,1
LTQ_IonTrap,LTQ_2,283469,8/22/12,59,MS-MSn,poor,0.239747,33.0177,38.9571,49.0789,0.415124,0.380166,6.44482,3539.47,0.429673,0.341354,0.0902287,0.138744,0.467297,0.465152,0.0344316,0.0331202,0.237798,0.238833,0.235917,0.287452,1.34795,2.5821,5.37434,0.686627,3.29867,2.82064,1642,3.76097,78,403.5,1479,8363,2.57405,211,292,371,0,0,0,0,0,0,0.165132,0.834868,870492,0,0,13.2906,7.9756,60.73,68.14,27.84,47.45,71,11.333,7.5,199,1987,1.236,1.004,1,0,791.1609,0,0.590909,0,10,11.7,2086.2,6.007,8309,-0.037047,0.239108,-15.934,-15.057,100,34.54,417,0.0092,0.0266,0.0488,0.0293,6.89,-6.894,207,193,185,0.016216,0.104177151,1,1
LTQ_IonTrap,LTQ_2,283486,8/22/12,59,MS-MSn,poor,0.234571,33.0026,38.9592,49.0853,0.382584,0.569896,6.02962,3539.42,0.581198,0.257536,0.0433702,0.117896,0.479363,0.455255,0.0317597,0.0336222,0.23325,0.237129,0.236883,0.292738,1.19749,2.50229,5.64526,0.241634,3.04603,3.51579,1711,4.02533,71,87,1422,8377,2.59037,103,173,218,0,0,0,0,0,0,0.243643,0.756357,870524,0,0.018519,7.9978,3.501,57.77,57.25,30.13,75.58,65.17,4.375,8,120,1206,1.385,1.013,0,1,919.9677,0,1.347826,0,10,12.85,1014.35,10.013,4635,-0.091386,0.265753,-44.517,-41.366,100,20.585,244,0.002,0.0072,0.0145,0.0118,6.8,-6.796,52,47,43,0.023256,0.043117745,1,1
LTQ_IonTrap,LTQ_2,283489,8/23/12,59,MS-MSn,poor,0.234342,32.877,38.6404,47.9697,0.391439,0.756903,6.12154,3539.41,0.551486,0.271777,0.054779,0.121959,0.469192,0.465351,0.0326933,0.0327639,0.232935,0.236315,0.238785,0.291965,1.26896,2.19514,5.28388,0.386714,2.61544,3.13357,1685,3.97282,69,95,1390,8398,2.5784,64,133,178,0,0,0,0,0,0,0.316266,0.683734,870531,0,0,6.48,1.3889,54.85,52.91,31.45,81.05,52.84,3.333,0,97,974,1.32,1.062,0,1,959.4897,0,1.666667,0,10,12.225,930.3695,6.92,4577,0.054823,0.266002,27.688,39.939,100,17.66,220,0,0.0015,0.009,0.0015,6.73,-6.73,16,14,13,0,0.016427105,1,1
LTQ_IonTrap,LTQ_2,283491,8/23/12,59,MS-MSn,poor,0.242039,34.2319,39.6243,48.9892,0.355431,0.586858,5.97083,3539.31,0.605352,0.231928,0.0468078,0.115912,0.460357,0.470864,0.0367248,0.0320536,0.233518,0.237544,0.239073,0.289865,1.37028,2.18455,5.08301,2.25619,0.85854,3.32531,1650,3.82101,72,1020,1418,8416,2.60587,87,150,192,0,0,0,0,0,0,0.287904,0.712096,870536,0,0,5.1308,3.3133,56.71,53.87,28.16,91.64,55.01,5.333,1.5,77,774,1.297,0.954,0,1,892.469,0,1.133333,0,10,12.65,995.362,9.352,3620,0.008288,0.197057,3.02,7.714,100,19.385,204,0.0035,0.0042,0.0085,0.0063,6.78,-6.778,30,25,21,0.047619,0.03875969,1,1
LTQ_IonTrap,LTQ_2,283495,8/23/12,59,MS-MSn,poor,0.230596,33.4853,39.3523,49.4885,0.392461,0.641127,4.32985,3539.46,0.496566,0.318707,0.0678581,0.116869,0.463044,0.470005,0.03568,0.0312703,0.231982,0.23609,0.239846,0.292081,1.33375,1.99307,5.50924,0.536338,2.38271,3.43186,1670,3.8251,71,98,1391,8413,2.60176,53,122,173,0,0,0,0,0,0,0.378343,0.621657,870544,0,0,2.3748,2.9476,53.62,52.96,27.56,80.69,49.63,3.5,0,36,358,1.015,0.871,0,1,960.3202,0,0.833333,0,10,13.29,880.2745,2.476,3104,-0.018186,0.168956,-9.014,0.111,100,12.925,191,0,0.0017,0.0075,0,6.69,-6.686,11,10,9,0,0.030726257,1,1
LTQ_IonTrap,LTQ_2,283498,8/23/12,59,MS-MSn,poor,0.236061,34.0285,39.7615,50.386,0.403953,0.692155,3.56354,3539.2,0.55016,0.283447,0.0667305,0.0996629,0.401988,0.414169,0.152175,0.0316669,0.231289,0.235614,0.238976,0.294121,3.59543,1.50186,6.78302,6.06712,0.235735,4.5209,1447,3.34939,11,1194,1435,8358,2.61511,82.25,141,187,0,0,0,0,0,0,0.340751,0.659249,870550,0,0,5.5367,2.1674,76.66,72.83,38.92,110.66,78.12,2.75,4,83,832,1.184,1.067,4,4,947.4888,0,1.444444,0,10,12.6,1009.2,5.56,3666,0.032918,0.221258,15.306,18.809,100,20.925,224,0,0.003,0.0098,0.0038,6.74,-6.743,21,20,15,0.066667,0.025240385,1,1
LTQ_IonTrap,LTQ_2,283511,8/23/12,59,MS-MSn,poor,0.227784,35.2219,41.5682,53.7435,0.403746,1.03697,4.0564,3539.31,0.339885,0.438975,0.0668904,0.15425,0.38584,0.40226,0.170563,0.041337,0.228984,0.231114,0.238802,0.3011,5.95142,1.44176,4.25971,8.73356,0.265522,2.87152,1401,3.05979,1,1184,1465,8271,2.61121,64.5,142,191,0,0,0,0,0,0,0.40636,0.59364,870589,0,0,4.0971,2.1967,71.19,68.97,34.12,76.72,65.76,10,1,62,619,1.046,0.937,4,3,947.4888,0,1.5,0,10,13.19,1028.55,10.909,4163,-0.161366,0.228662,-67.091,-62.36,100,18.47,214,0.0026,0.0017,0.0087,0,6.66,-6.657,15,13,12,0,0.024232633,1,1
LTQ_IonTrap,LTQ_2,283513,8/23/12,59,MS-MSn,poor,0.213943,26.1541,31.1327,40.1701,1.46615,1.03722,3.7612,3540.91,0.532672,0.023087,0.138117,0.306123,0.055653,0.0575371,0.184328,0.702482,0.355373,0.222657,0.210498,0.211472,0.842168,1.18288,9.14126,0.381569,0.973066,7.96848,3617,4.88132,35,45,63,7502,3.14179,9,167,472,0,0,0,0,0,0,0.378432,0.621568,870605,0,0,1.9771,20.7374,48.66,81.29,52.36,21.82,149.59,11.6,5,35,350,1.439,1.108,1,0,787.4238,0,0.396552,0,10,10.075,106920,27.045,350367,0.002444,0.206288,1.732,2.072,21.398,72.545,863,0,0.0073,0.01,0.0563,6.85,-6.846,81,67,66,0,0.231428571,1,1
LTQ_IonTrap,LTQ_2,283514,8/23/12,59,MS-MSn,good,0.272863,31.0365,36.1754,46.3033,0.967415,1.56939,2.3572,3540.36,0.179122,0.114464,0.109284,0.59713,0.236938,0.23579,0.26241,0.264862,0.237688,0.235592,0.262133,0.264587,1.09916,0.836623,2.60971,0.668542,1.77059,0.339416,937,0.302815,1472,1538,1583,9360,3.03769,478,700,859,0,0,0,0,0,0,0.0728632,0.927137,870627,0.004532,0.012085,13.724,48.1638,35.72,43.44,27.7,31.97,61.3,5.591,4.4,232,2326,1.498,1.134,0,0,881.9376,0.030366,0.356021,0,1.657,31.06,87322,57.286,255415,0.011669,0.216149,5.73,6.568,50.831,103.2,845,0.0217,0.0756,0.2181,0.2584,7.19,-7.192,1301,977,901,0.021088,0.559329321,0,0.04
LTQ_IonTrap,LTQ_2,283580,8/23/12,59,MS-MSn,poor,0.179831,26.4107,32.9897,41.6316,0.294559,0.281659,2.06612,3539.73,0.177636,0.107617,0.344485,0.370262,0.0810465,0.158103,0.374389,0.386462,0.275184,0.243077,0.235145,0.246594,1.45452,3.73519,5.30553,0.277809,4.14739,3.06851,1870,4.28222,72,91,1293,8280,2.64223,103,223,328,0,0,0,0,0,0,0.385024,0.614976,870800,0.011765,0.035294,18.2291,2.3589,91.57,78.32,82.01,97.43,87.64,17,0.333,271,2712,1.796,1.428,0,1,649.8386,0,0.103896,0,10,29.895,55.0895,4.931,21837,0.030459,0.178133,24.166,25.662,100,72.59,452,7.00E-04,0.0074,0.0242,0.0248,6.78,-6.777,84,30,29,0.034483,0.030973451,1,1
LTQ_IonTrap,LTQ_2,283584,8/23/12,59,MS-MSn,poor,0.164334,17.4897,23.0632,31.0333,0.250761,0.312457,1.81652,3541.4,0.868021,0.0341999,0.0385417,0.0592374,0.250259,0.148119,0.147511,0.454111,0.0929329,0.396526,0.421298,0.0892429,1.01443,0.662111,10.0161,0.139089,0.123104,8.07215,8201,4.19294,55,62,68,3286,2.67881,22,256,382,0,0,0,0,0,0,0.499391,0.500609,870858,0,0,0.5184,5.787,92.98,100.03,83.53,37.55,118.8,0,0,7,80,1.818,1,7,6,868.0456,0,2,0,10,7.739,23477,1.01,78500,-0.153488,0.160234,-74.757,-41.577,100,74.34,1001,0,0.0061,0,0,6.67,-6.671,3,3,3,0,0.0375,1,1
LTQ_IonTrap,LTQ_2,283599,8/23/12,59,MS-MSn,poor,0.228326,36.7986,44.3848,59.5062,0.718481,1.33759,2.41194,3541.79,0.185597,0.0845535,0.0946209,0.635228,0.237379,0.234948,0.262809,0.264863,0.23739,0.234959,0.262786,0.264866,1.25323,1.1563,2.6798,0.302781,2.0724,0.276465,932,0.304658,1304,1407,1531.25,9320,3.0563,386.75,681,838,0,0,0,0,0,0,0.181438,0.818562,870927,0,0.006659,9.3357,47.9878,35.78,37.28,29.5,32.14,43.82,5.67,4.762,163,1629,1.505,1.129,1,0,888.4805,0.024272,0.433657,0,1.993,26.5,101410,28.858,321000,-0.018616,0.229611,-10.192,-9.928,37.267,90.8,880,0.0023,0.0202,0.1811,0.2158,6.99,-6.994,879,745,684,0.020468,0.539594843,1,0.99
LTQ_IonTrap,LTQ_2,283606,8/23/12,59,MS-MSn,poor,0.248573,33.4586,40.1081,52.7228,0.634415,1.70201,2.26964,3541.1,0.189781,0.0776503,0.0891578,0.643411,0.238221,0.235043,0.262407,0.264329,0.238292,0.234695,0.261983,0.26503,1.11972,1.06423,2.6804,0.246179,2.13104,0.363085,930,0.306802,1256,1370,1525,9285,3.08012,365,691,843,0,0,0,0,0,0,0.18126,0.81874,870956,0,0.002545,9.0928,43.221,33.49,36.35,21.59,27.46,47.06,6.973,6.727,159,1595,1.494,1.141,1,0,904.6708,0.017078,0.474383,0,2.196,25.49,100920,32.932,319000,-0.044396,0.230715,-21.747,-21.675,36.857,95.43,899,0.0028,0.0169,0.1423,0.2057,6.96,-6.962,769,640,601,0.019967,0.482131661,1,0.98
LTQ_IonTrap,LTQ_2,283610,8/23/12,59,MS-MSn,poor,0.245403,33.499,40.4269,54.1618,0.54091,1.35018,2.84652,3539.14,0.194813,0.070067,0.0829902,0.65213,0.239688,0.236214,0.261722,0.262375,0.239462,0.235553,0.261025,0.26396,1.14618,1.20547,2.72945,0.482768,2.01946,0.609309,927,0.307599,1267.5,1348,1526.5,9246,3.08532,350,687,844,0,0,0,0,0,0,0.167316,0.832684,870967,0,0.012107,8.5569,48.0314,32,33.35,21.17,26.55,45.87,6.193,6.917,150,1501,1.545,1.161,2,0,907.4863,0.018349,0.497248,0,2.407,27.28,101130,37.24,342000,-0.013301,0.227076,-6.919,-6.9,36.916,89.68,898,5.00E-04,0.0165,0.1453,0.2244,6.99,-6.991,806,664,610,0.018033,0.53697535,1,1
LTQ_IonTrap,LTQ_2,283614,8/23/12,59,MS-MSn,poor,0.248213,33.2552,39.5891,51.2872,0.53347,1.87431,2.51138,3539.28,0.194195,0.073018,0.085373,0.647414,0.242558,0.239415,0.265111,0.252916,0.239572,0.234831,0.260908,0.264689,1.14708,1.07888,2.92794,0.271063,2.08454,0.566595,938,0.399317,1241,1345,1525,9234,3.0758,294,687,837,0,0,0,0,0,0,0.179121,0.820879,870978,0,0.005263,8.3424,45.5504,33.65,35.69,25.36,28.4,44.17,5.726,7.636,146,1466,1.561,1.19,1,1,904.456,0.011429,0.43619,0,2.472,27.025,105745,21.696,345000,-0.03979,0.225117,-20.746,-20.711,36.114,86.02,903,9.00E-04,0.0085,0.1374,0.2099,6.97,-6.972,742,620,573,0.027923,0.506139154,1,0.99
LTQ_IonTrap,LTQ_2,283618,8/23/12,59,MS-MSn,poor,0.258709,32.1699,38.1386,49.3463,0.396702,1.65084,2.80701,3542.31,0.196955,0.0640108,0.0793374,0.659697,0.240322,0.236719,0.260245,0.262715,0.240517,0.236755,0.260073,0.262655,1.01005,1.17498,2.83443,0.357552,1.94902,0.84529,922,0.308768,1265,1345,1515,9215,3.09932,310.5,665,828,0,0,0,0,0,0,0.163104,0.836896,870989,0,0.012228,8.1314,45.2567,32.27,32.5,21.59,32.25,38.74,5.779,7,142,1423,1.53,1.153,0,1,901.8987,0.016985,0.545648,0,2.759,26.31,98846,53.969,317000,-0.024991,0.227849,-13.768,-13.23,40.108,95.875,895,0.0028,0.0135,0.1088,0.2176,6.99,-6.992,722,587,537,0.018622,0.507378777,1,0.96
LTQ_IonTrap,LTQ_2,283633,8/24/12,59,MS-MSn,poor,0.264551,31.3783,37.3646,47.5428,0.437935,1.1157,3.27293,3542.14,0.215827,0.0531909,0.0712464,0.659736,0.243563,0.239029,0.259287,0.258122,0.242647,0.237699,0.258064,0.261591,1.00054,1.17387,3.03402,0.369549,0.916277,1.94135,915,0.308925,1212,1303,1494,9106,3.10318,223,614,781,0,0,0,0,0,0,0.181419,0.818581,871021,0.001757,0.012302,6.646,42.582,33.68,32.27,26.02,27.17,29.7,7.362,3.133,115,1153,1.547,1.149,1,2,944.8186,0.016854,0.581461,0,3.061,27.945,88909,46.824,285000,-0.052511,0.228988,-25.6,-25.543,45.452,87.395,910,0.0029,0.0121,0.061,0.1976,6.93,-6.931,556,443,411,0.017032,0.482220295,1,1
LTQ_IonTrap,LTQ_2,283639,8/24/12,59,MS-MSn,poor,0.236339,28.9869,33.8533,43.2641,0.361151,0.562875,3.70142,3542.01,0.223031,0.0493897,0.0697364,0.657843,0.223732,0.250905,0.274291,0.251071,0.24466,0.23622,0.255097,0.264023,1.05714,1.08092,3.30046,1.11086,0.357859,2.55533,968,0.832941,1203.75,1289,1443,9004,3.08592,220,596,778,0,0,0,0,0,0,0.186695,0.813305,871033,0,0.007984,6.3459,39.5531,40.06,41.44,26.13,24.94,31.41,5.709,9.167,110,1097,1.499,1.16,5,6,943.5151,0.00974,0.616883,0,3.3065,24.73,81294,38.876,281000,-0.088553,0.243103,-50.821,-50.09,43.96,79.14,901,0.0025,0.0069,0.0515,0.1862,6.95,-6.945,488,398,372,0.026882,0.44484959,1,1
